Name,Years.in.Office,Party,District,People.Who.Voted,Margin.of.Victory,Population
Ruben Gallego,0,D,AZ.D7,72290,60.2,528478
Ryan Costello,0,R,PA.D6,210643,12.4,531432
Ryan Zinke,0,R,MT.D1,362235,15.1,787794
Seth Moulton,0,D,MA.D6,273472,13.7,557823
Stephen Knight,0,R,CA.D25,101046,6.8,462726
Steve Russell,0,R,OK.D5,158985,23.8,538878
Ted Lieu,0,D,CA.D33,159525,17.2,532217
Tom Emmer,0,R,MN.D6,236717,17.9,495406
Tom MacArthur,0,R,NJ.D3,176162,10.7,558360
Alan Nunnelee,4,R,MS.D1,149188,39.2,563663
Will Hurd,0,R,TX.D23,116297,2.1,455846
Mark Takai,0,D,HI.D1,179740,3.8,504807
Chaka Fattah,20,D,PA.D2,202635,75.4,535071
Ed Whitfield,20,R,KY.D1,236615,46.2,548695
John Boehner,24,R,OH.D8,185588,40,536604
Charles Rangel,44,D,NY.D13,54911,74.8,476529
Corrine Brown,22,D,FL.D5,171244,31,515591
Matt Salmon,2,R,AZ.D5,179376,39.2,527349
Donna Edwards,6,D,MD.D4,180981,41.4,487512
Robert Dold,0,D,IL.D10,181994,3.2,454047
Mike Fitzpatrick,4,R,PA.D8,222381,23.8,540283
Patrick Murphy,2,R,FL.D18,253031,19.6,548959
Frank Guinta,0,R,NH.D1,241947,3.6,515961
David Jolly,1,D,FL.D13,223365,50.6,556308
Richard Hanna,4,R,NY.D22,0,0,549521
Charles Boustany,10,R,LA.D3,236221,66.7,567383
Alan Grayson,6,D,FL.D9,173693,10.9,505227
Stephen Fincher,4,R,TN.D8,172504,46.2,528017
Brad Ashford,0,D,NE.D2,156967,2.6,440511
Randy Forbes,14,D,WV.D4,200769,22.8,558313
Lynn Westmoreland,10,R,GA.D3,0,0,525082
Curt Clawson,1,R,FL.D19,246295,31.9,556911
Dan Benishek,4,R,MI.D1,250121,6.8,563467
Joe Heck,4,R,NV.D3,145661,24.7,519444
Chris Van Hollen,12,D,MD.D8,210971,21.6,493666
John Kline,12,R,MN.D2,245664,17.2,492428
Marlin Stutzman,3,R,IN.D3,148307,42.5,529987
Sam Farr,12,D,CA.D20,103987,48.6,426104
Randy Neugebauer,11,R,TX.D19,116185,58.8,502226
Chris Gibson,2,R,NY.D19,191452,30,553688
Ander Crenshaw,14,R,FL.D4,226758,62.6,527937
Scott Garrett,12,R,NJ.D5,180618,12.7,531766
John Carney,6,D,DE.D1,231607,22.5,694388
Cynthia Lummis,6,R,WY.D1,162154,45.5,432453
Joe Pitts,18,R,PA.D16,175004,15.6,514349
Loretta Sanchez,12,D,CA.D46,77941,17.2,364752
Jeff Miller,14,R,FL.D1,235046,46.8,566462
Reid Ribble,4,R,WI.D8,289415,30.2,538511
John Fleming,6,R,LA.D4,207894,46.8,559367
Janice Hahn,3,D,CA.D44,59524,73.8,370845
Gwen Graham,0,D,FL.D2,248071,0.8,553713
Candice Miller,12,R,MI.D10,228141,39.3,537220
Jim McDermott,26,D,WA.D7,225998,61.6,563293
Tammy Duckworth,2,D,IL.D8,143648,10.8,444133
Mike Honda,14,D,CA.D17,131294,3.6,425340
Tim Huelskamp,4,R,KS.D1,195717,35,510287
Cresent Hardy,0,R,NV.D4,130702,2.7,476565
Lois Capps,16,D,CA.D24,188466,3.4,497315
Scott Rigell,4,R,WV.D2,238734,15.8,552572
John Mica,22,R,FL.D7,226961,31.5,546441
George Holding,2,R,NC.D13,265911,4.6,544302
Robert Hurt,4,R,WV.D5,203738,25.2,567281
Ann Kirkpatrick,2,D,AZ.D1,180244,5,529610
Steve Israel,14,D,NY.D3,156522,9,509977
Todd Young,4,R,IN.D9,158148,29.8,557538
Daniel Webster,4,R,FL.D10,232234,23.2,551220
Ruben Hinojosa,18,D,TX.D15,89549,11.1,406410
