Name,Years.in.Office,Party,District,People.Who.Voted,Margin.of.Victory
Mike Bost,2,R,IL.D12,311700,14.6
Mimi Walters,2,R,CA.D45,291257,18
Norma Torres,2,D,CA.D35,152956,43.6
Pete Aguilar,2,D,CA.D31,200940,11.4
Ralph Abraham,2,R,LA.D5,255610,63.2
Rick Allen,2,R,GA.D12,257575,23.2
Rod Blum,2,R,IA.D1,382720,7.8
Ruben Gallego,2,D,AZ.D7,118259,49.2
Ryan Costello,2,R,PA.D6,355471,14.6
Ryan Zinke,2,R,MT.D1,498179,15.8
Seth Moulton,2,D,MA.D6,0,0
Stephen Knight,2,R,CA.D25,208064,8.4
Steve Russell,2,R,OK.D5,280218,20.3
Ted Lieu,2,D,CA.D33,262285,32.6
Tom Emmer,2,R,MN.D6,262285,31.4
Tom MacArthur,2,R,NJ.D3,298275,20.9
Trent Kelly,2,R,MS.D1,295087,41
Will Hurd,2,R,TX.D23,226582,-3
Colleen Hanabusa,1,D,HI.D1,187805,49.2
Dwight Evans,1,D,PA.D2,344361,80.4
James Comer Jr,1,R,KY.D1,298667,45.2
Warren Davidson,1,R,OH.D8,318137,42.2
Adriano Espaillat,0,D,NY.D13,211045,81.9
Alfred Lawson,0,D,FL.D5,301214,28.4
Andy Biggs,0,R,AZ.D5,250205,26.2
Anthony G. Brown,0,D,MD.D4,294520,52.5
Brad Schneider,0,D,IL.D10,280682,5
Brian Fitzpatrick,0,R,PA.D8,379178,9
Brian Mast,0,R,FL.D18,374790,10.6
Carol Shea-Porter,0,D,NH.D1,366339,1.3
Charlie Crist,0,D,FL.D13,355335,3.8
Claudia Tenney,0,R,NY.D22,257035,6.6
Clay Higgins,0,R,LA.D3,320064,12.2
Darren Soto,0,D,FL.D9,339244,15
David Kustoff,0,R,TN.D8,281116,43.7
Don Bacon,0,R,NE.D2,272087,2.1
Donald McEachin,0,D,WV.D4,335200,14.6
Drew Ferguson,0,R,GA.D3,302666,36.8
Francis Rooney,0,R,FL.D19,362600,31.8
Jack Bergman,0,R,MI.D1,363630,15.6
Jacky Rosen,0,D,NV.D3,310510,1.2
Jamie Raskin,0,D,MD.D8,323172,23.7
Jason Lewis,0,R,MN.D2,369946,1.8
Jim Banks,0,R,IN.D3,286906,47.1
Jimmy Panetta,0,D,CA.D20,205194,41.2
Jodey Arrington,0,R,TX.D19,203080,73.4
John Faso,0,R,NY.D19,279784,9.4
John Rutherford,0,R,FL.D4,407261,42.6
Josh Gottheimer,0,D,NJ.D5,310396,3.3
Lisa Blunt Rochester,0,D,DE.D1,420593,14.5
Liz Cheney,0,R,WY.D1,250868,32.1
Lloyd Smucker,0,R,PA.D16,311075,11.2
Lou Correa,0,D,CA.D46,148127,39.8
Matt Gaetz,0,R,FL.D1,367866,38.2
Mike Gallagher,0,R,WI.D8,363380,25.4
Mike Johnson,0,R,LA.D4,285872,30.4
Nanette Barragan,0,D,CA.D44,137480,2.2
Neal Dunn,0,R,FL.D2,342818,37.4
Paul Mitchell,0,R,MI.D10,339734,30.7
Pramila Jayapal,0,D,WA.D7,343369,12.2
Raja Krishnamoorthi,0,D,IL.D8,243031,16.2
Ro Khanna,0,D,CA.D17,222112,22.2
Roger Marshall,0,R,KS.D1,250684,39.8
Ruben J. Kihuen,0,D,NV.D4,265391,4
Salud Carbajal,0,D,CA.D24,292024,6.4
Scott Taylor,0,R,WV.D2,279565,23.4
Stephanie Murphy,0,D,FL.D7,353170,3
Ted Budd,0,R,NC.D13,350427,12.2
Thomas Garrett,0,R,WV.D5,354233,16.6
Tom O'Halleran,0,D,AZ.D1,230406,7.3
Tom Suozzi,0,D,NY.D3,298338,4.8
Trey Hollingsworth,0,R,IN.D9,322654,13.6
Val Demings,0,D,FL.D10,305732,29.8
Vicente González,0,D,TX.D15,177198,14.6
